original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
41,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,126,.,sí .%mor: co|sí=yes .,%mor:
42,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,128,.,ahora ya se ha para(d)o .%mor: adv|ahora=now adv|ya=already pro:refl|se=itself aux|habe-3S&PRES=have part|para-PPART-m=stop .,%mor:
43,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,131,.,sí .%mor: co|sí=yes .,%mor:
44,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,134,?,que quieres Jaime ?%mor: pro:rel|que=that v|quere-2S&PRES=want n:prop|Jaime ?,%mor:
45,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,136,.,ale@c [=? oye] xxx .%mor: chi|ale .,%mor:
46,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,138,.,claro hijo si es que te vas a caer ahí .%mor: adj|claro-m=obvious n|hijo-m=child conj|si=if cop|se-3S&PRES=be pro:rel|que=that pro:obj|te=you v|i-2S&PRES=go prepart|a=to inf|cae-INF=fall adv|ahí=there .,%mor:
47,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,142,!,quitate Juan un momentito hombre !%mor: imp|quita-2S&IMP~pro:clit|2S=remove n:prop|Juan det:art|un&m=one n|momento&m-DIM=moment co|hombre=man !,%mor:
48,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,145,.,no te lo voy a decir más veces si quieres ir a casa de ese niño haz el favor de vestirte deprisa y de no hacer tonterías .%mor: adv|no=no pro:obj|te=you pro:obj|le-m=him v|i-1S&PRES=go prepart|a=to inf|deci-INF=say adv|más=more n|vez&f-PL=turn conj|si=if v|quere-2S&PRES=want inf|i-INF=go prepart|a=to n|casa&f=house prep|de=of det:dem|ese=that co|niño=child imp|hace-2S&IMP=do det:art|el&m&SG=the n|favor&m=favor prep|de=of inf|vesti-INF~pro:clit|2S=dress adv|deprisa=quickly coord|y=and prep|de=of adv|no=no inf|hace-INF=do n|tontería&f-PL=foolishness .,%mor:
49,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,154,.,Jaime .%mor: n:prop|Jaime .,%mor:
50,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,156,.,Jaime ni va a ir al cumpleaños .%mor: n:prop|Jaime coord|ni=nor v|i-3S&PRES=go prepart|a=to inf|i-INF=go prepart|a~det:art|el&m=to n|cumpleaño&m-PL=birthday .,%mor:
51,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,159,.,porque quien le cuida .%mor: conj|porque=because pro:rel|quien=who pro:ind|le&m=him v|cuida-3S&PRES=take_care .,%mor:
52,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,162,.,yo le cuido .%mor: pro:sub|yo=I pro:ind|le&m=him v|cuida-1S&PRES=take_care .,%mor:
53,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,164,.,eh .%mor: co|eh .,%mor:
54,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,166,.,quien me lleve eh .%mor: pro:rel|quien=who pro:obj|me=me v|lleva-13S&SUB&PRES=carry co|eh .,%mor:
55,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,168,.,si te portas así de mal nadie .%mor: conj|si=if pro:obj|te=you v|porta-2S&PRES=behave adv|así=thus prep|de=of adv|mal=badly pro:indef|nadie=nobody .,%mor:
56,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,171,.,quien me cuida .%mor: pro:rel|quien=who pro:obj|me=me v|cuida-3S&PRES=take_care .,%mor:
57,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,173,.,yo .%mor: pro:sub|yo=I .,%mor:
58,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,175,.,y Jaime .%mor: coord|y=and n:prop|Jaime .,%mor:
59,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,177,.,zapatillas de deporte no (.) no cual zapatillas de deporte me pongo cual me pongo .%mor: n|zapatilla&f-PL=running_shoe prep|de=of n|deporte&m=sport adv|no=no adv|no=no pro:rel|cual=which n|zapatilla&f-PL=running_shoe prep|de=of n|deporte&m=sport pro:obj|me=me v|pone-1S&PRES=put pro:rel|cual=which pro:obj|me=me v|pone-1S&PRES=put .,%mor:
60,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,184,?,que pasa Jaime que tienes tanta tos ?%mor: pro:rel|que=that v|pasa-3S&PRES=pass n:prop|Jaime pro:rel|que=that v|tene-2S&PRES=have adj|tanto-f=so_much n|tos&f=cough ?,%mor:
61,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,188,.,oye papa .%mor: v|oí-3S&PRES=hear n|papa&f=potato .,%mor:
62,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,190,.,dime .%mor: imp|deci-2S&IMP~pro:clit|1S=say .,%mor:
63,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,192,.,esto tiene huesos .%mor: pro:dem|esto=this_one v|tene-3S&PRES=have n|hueso&m-PL=bone .,%mor:
64,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,194,?,que es eso ?%mor: pro:rel|que=that cop|se-3S&PRES=be pro:dem|eso=that_one ?,%mor:
65,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,196,.,es un cier(vo) .%mor: cop|se-3S&PRES=be det:art|un&m=one n|ciervo&m=deer .,%mor:
66,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,198,.,esto tiene huesos .%mor: pro:dem|esto=this_one v|tene-3S&PRES=have n|hueso&m-PL=bone .,%mor:
67,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,200,!,claro !%mor: co|claro=obvious !,%mor:
68,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,202,.,donde están .%mor: pro:rel|donde=where cop|esta-3P&PRES=be .,%mor:
69,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,204,?,dentro de las patas es una llama pues tiene huesos (.) igual que los perros Tristan tiene huesos ?%mor: adv|dentro=inside prep|de=of det:art|el&f-PL=the n|pata&f-PL=animal_foot cop|se-3S&PRES=be det:art|un-f=one n|llama&f=flame co|pues=well v|tene-3S&PRES=have n|hueso&m-PL=bone co|igual=equal pro:rel|que=that det:art|el&m-PL=the n|perro-m-PL=dog n:prop|Tristan v|tene-3S&PRES=have n|hueso&m-PL=bone ?,%mor:
70,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,211,.,y y se los come Tristan .%mor: coord|y=and coord|y=and pro:refl|se=itself det:art|el&m-PL=the v|come-3S&PRES=eat n:prop|Tristan .,%mor:
71,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,214,.,a las llamas no .%mor: prepart|a=to det:art|el&f-PL=the n|llama&f-PL=flame adv|no=no .,%mor:
72,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,216,.,no los huesos de las llamas se los come .%mor: adv|no=no det:art|el&m-PL=the n|hueso&m-PL=bone prep|de=of det:art|el&f-PL=the n|llama&f-PL=flame pro:refl|se=itself det:art|el&m-PL=the v|come-3S&PRES=eat .,%mor:
73,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,220,.,no porque las llamas no viven en las ciudades .%mor: co|no conj|porque=because det:art|el&f-PL=the v|llama-2S&PRES=call adv|no=no v|vivi-3P&PRES=live prep|en=in det:art|el&f-PL=the n|ciudad&f-PL=town .,%mor:
74,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,224,.,viven en la selva .%mor: v|vivi-3P&PRES=live prep|en=in det:art|el&f&SG=the n|selva&f=forest .,%mor:
75,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,227,.,los leones .%mor: det:art|el&m-PL=the n|león&m-PL=lion .,%mor:
76,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,229,.,también .%mor: adv|también=also .,%mor:
77,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,231,.,y las cogen (.) y Tarzan (.) y los tigres viven en la selva .%mor: coord|y=and det:art|el&f-PL=the v|coge-3P&PRES=take coord|y=and n:prop|Tarzan coord|y=and det:art|el&m-PL=the n|tigre&m-PL=tiger v|vivi-3P&PRES=live prep|en=in det:art|el&f&SG=the n|selva&f=forest .,%mor:
78,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,236,.,también .%mor: adv|también=also .,%mor:
79,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,238,.,y las cogen .%mor: coord|y=and det:art|el&f-PL=the v|coge-3P&PRES=take .,%mor:
80,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,240,.,sí .%mor: co|sí=yes .,%mor:
81,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,242,.,y hay muchas llamas .%mor: coord|y=and v|habe-3S&PRES&SPEC=have qn|mucho-f-PL=many n|llama&f-PL=flame .,%mor:
82,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,245,.,muchas llamas sí .%mor: qn|mucho-f-PL=many v|llama-2S&PRES=call co|sí=yes .,%mor:
83,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,247,.,tu tienes muchas llamas verdad .%mor: det:poss|tu=your v|tene-2S&PRES=have pro:indef|mucho-f-PL=much v|llama-2S&PRES=call n|verdad&f=truth .,%mor:
84,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,250,.,yo no yo tengo esa nada más .%mor: pro:sub|yo=I adv|no=no pro:sub|yo=I v|tene-1S&PRES=have det:dem|ese-f=that v|nada-3S&PRES=swim adv|más=more .,%mor:
85,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,253,.,pa(ra) que las cog(i)eran [*] los dos .%mor: prep|para=for pro:rel|que=that det:art|el&f-PL=the v|coge-3P&SUB&PAS=take det:art|el&m-PL=the det:num|dos=two .,%mor:
86,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,256,!,ah !%mor: co|ah !,%mor:
87,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,258,!,vaya !%mor: co|vaya=come_on !,%mor:
88,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,260,?,para que el tigre cogiera una y el león otra ?%mor: prep|para=for pro:rel|que=that det:art|el&m&SG=the n|tigre&m=tiger v|coge-13S&SUB&PAS=take pro:indef|una=one coord|y=and det:art|el&m&SG=the n|león&m=lion pro:indef|otro-f=other ?,%mor:
89,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,264,.,sí .%mor: co|sí=yes .,%mor:
90,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,266,.,no tengo .%mor: adv|no=no v|tene-1S&PRES=have .,%mor:
91,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,268,.,en tu despacho .%mor: prep|en=in det:poss|tu=your n|despacho&m=expedition .,%mor:
92,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,270,.,no no tengo más hijo .%mor: adv|no=no adv|no=no v|tene-1S&PRES=have adv|más=more co|hijo=child .,%mor:
93,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,273,.,porque .%mor: conj|porque=because .,%mor:
94,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,275,?,cuando vayamos a xxx compramos más quieres ?%mor: conj|cuando=when v|i-1P&SUB&PRES=go prepart|a=to v|compra-1P&PRES&PRET=buy adv|más=more v|quere-2S&PRES=want ?,%mor:
95,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,278,.,sí más de leonas y más de y una avestruz y una paloma .%mor: co|sí=yes adv|más=more prep|de=of n|leona&f-PL=lioness coord|y=and adv|más=more prep|de=of coord|y=and det:art|un-f=one n|avestruz&m=ostrich coord|y=and det:art|un-f=one n|palomo-f=dove .,%mor:
96,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,283,?,"si teníamos avestruz , donde está la avestruz ?%mor: conj|si=if v|tene-1P&PAS=have n|avestruz&m=ostrich cm|cm pro:rel|donde=where cop|esta-3S&PRES=be det:art|el&f&SG=the n|avestruz&m=ostrich ?",%mor:
97,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,287,.,que .%mor: pro:rel|que=that .,%mor:
98,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,289,?,donde está la avestruz que teníamos ?%mor: pro:rel|donde=where cop|esta-3S&PRES=be det:art|el&f&SG=the n|avestruz&m=ostrich pro:rel|que=that v|tene-1P&PAS=have ?,%mor:
99,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,292,.,que .%mor: pro:rel|que=that .,%mor:
100,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,294,?,que teníamos avestruz digo (.) donde está ?%mor: pro:rel|que=that v|tene-1P&PAS=have n|avestruz&m=ostrich v|deci-1S&PRES=say pro:rel|donde=where cop|esta-3S&PRES=be ?,%mor:
101,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,297,.,ahí ahí (.) que ya está la leona .%mor: adv|ahí=there adv|ahí=there pro:rel|que=that adv|ya=already cop|esta-3S&PRES=be det:art|el&f&SG=the n|leona&f=lioness .,%mor:
102,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,300,.,xxx podía si puedo uy que has puesto esto .%mor: v|pode-13S&PAS=can conj|si=if v|pode-1S&PRES=can co|uy pro:rel|que=that aux|habe-2S&PRES=have part|pone-PPART-m=put pro:dem|esto=this_one .,%mor:
103,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,304,?,eh ?%mor: co|eh ?,%mor:
104,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,306,.,porque has puesto aquí esto .%mor: conj|porque=because aux|habe-2S&PRES=have part|pone-PPART-m=put adv|aquí=here pro:dem|esto=this_one .,%mor:
105,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,309,?,te molesta ?%mor: pro:obj|te=you v|molesta-3S&PRES=bother ?,%mor:
106,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,311,.,sí .%mor: co|sí=yes .,%mor:
107,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,313,.,ponlo más lejos quitate .%mor: imp|pone-2S&IMP~pro:clit|OBJ&m=put adv|más=more adv|lejos=far imp|quita-2S&IMP~pro:clit|2S=remove .,%mor:
108,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,316,.,na_na@b .%mor: bab|na_na .,%mor:
109,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,318,.,se va a caer .%mor: pro:refl|se=itself v|i-3S&PRES=go prepart|a=to inf|cae-INF=fall .,%mor:
110,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,321,.,ayudame .%mor: imp|ayuda-2S&IMP~pro:clit|1S=help .,%mor:
111,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,323,.,se va a caer se va a caer si se sea yo rió si se cae .%mor: pro:refl|se=itself v|i-3S&PRES=go prepart|a=to inf|cae-INF=fall pro:refl|se=itself v|i-3S&PRES=go prepart|a=to inf|cae-INF=fall conj|si=if pro:refl|se=itself cop|se-13S&SUB&PRES=be pro:sub|yo=I v|reí-3S&PRET=laugh conj|si=if pro:refl|se=itself v|cae-3S&PRES=fall .,%mor:
112,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,330,.,ma .%mor: co|ma .,%mor:
113,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,332,.,mira que se cae .%mor: co|mira=look pro:rel|que=that pro:refl|se=itself v|cae-3S&PRES=fall .,%mor:
114,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,335,?,eh ?%mor: co|eh ?,%mor:
115,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,337,!,(.) uy !%mor: co|uy !,%mor:
116,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,339,?,que tienes ahí Jaime ?%mor: pro:rel|que=that v|tene-2S&PRES=have adv|ahí=there n:prop|Jaime ?,%mor:
117,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,341,.,na_na@b na_na@b .%mor: bab|na_na bab|na_na .,%mor:
118,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,343,!,que bonito !%mor: pro:rel|que=that co|bonito=pretty !,%mor:
119,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,346,?,"(.) xxx dejale el canguro , eh ?%mor: imp|deja-2S&IMP~pro:clit|3S=leave det:art|el&m&SG=the n|canguro&m=kangaroo cm|cm co|eh ?",%mor:
120,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,349,.,un Dartacan .%mor: det:art|un&m=one n:prop|Dartacan .,%mor:
121,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,352,?,"ten cuidado , eh ?%mor: imp|tene-2S&IMP=have n|cuidado&m=care cm|cm co|eh ?",%mor:
122,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,354,.,no le hagas daño .%mor: adv|no=no pro:ind|le&m=him v|hace-2S&SUB&PRES=do n|daño&m=damage .,%mor:
123,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,356,.,suelta Jaime suelta .%mor: v|solta-3S&PRES=release n:prop|Jaime v|solta-3S&PRES=release .,%mor:
124,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,358,.,"no , no dejale a el .%mor: adv|no=no cm|cm co|no imp|deja-2S&IMP~pro:clit|3S=leave prepart|a=to det:art|el&m&SG=the .",%mor:
125,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,361,.,así no es .%mor: adv|así=thus adv|no=no cop|se-3S&PRES=be .,%mor:
126,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,364,.,sí Gonzalo .%mor: co|sí=yes n:prop|Gonzalo .,%mor:
127,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,366,.,no me .%mor: adv|no=no pro:obj|me=me .,%mor:
