original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
21,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,38,cop|se-3s&pres=be,mira es del changuito mira dice eran las cinco en punto de la tarde todo estaba en calma .%mor: co|mira=look cop|se-3S&PRES=be prep|de~det:art|el&m=of n|changuito-m=little_monkey co|mira=look v|deci-3S&PRES=say cop|se-3P&PAS=be det:art|el&f-PL=the det:num|cinco=five prep|en=in n|punto&m=point_in_time prep|de=of det:art|el&f&SG=the adj|tarde=late det:indef|todo-m=all cop|esta-13S&PAS=be prep|en=in n|calma&f=calm .,%svd:,ser,0,,0,3,s,pres,,,,,
22,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,38,v|deci-3s&pres=say,mira es del changuito mira dice eran las cinco en punto de la tarde todo estaba en calma .%mor: co|mira=look cop|se-3S&PRES=be prep|de~det:art|el&m=of n|changuito-m=little_monkey co|mira=look v|deci-3S&PRES=say cop|se-3P&PAS=be det:art|el&f-PL=the det:num|cinco=five prep|en=in n|punto&m=point_in_time prep|de=of det:art|el&f&SG=the adj|tarde=late det:indef|todo-m=all cop|esta-13S&PAS=be prep|en=in n|calma&f=calm .,%svd:,decir,0,,0,3,s,pres,,,,,
23,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,38,cop|se-3p&pas=be,mira es del changuito mira dice eran las cinco en punto de la tarde todo estaba en calma .%mor: co|mira=look cop|se-3S&PRES=be prep|de~det:art|el&m=of n|changuito-m=little_monkey co|mira=look v|deci-3S&PRES=say cop|se-3P&PAS=be det:art|el&f-PL=the det:num|cinco=five prep|en=in n|punto&m=point_in_time prep|de=of det:art|el&f&SG=the adj|tarde=late det:indef|todo-m=all cop|esta-13S&PAS=be prep|en=in n|calma&f=calm .,%svd:,ser,na,na,na,na,na,na,na,na,na,reading,
24,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,38,cop|esta-13s&pas=be,mira es del changuito mira dice eran las cinco en punto de la tarde todo estaba en calma .%mor: co|mira=look cop|se-3S&PRES=be prep|de~det:art|el&m=of n|changuito-m=little_monkey co|mira=look v|deci-3S&PRES=say cop|se-3P&PAS=be det:art|el&f-PL=the det:num|cinco=five prep|en=in n|punto&m=point_in_time prep|de=of det:art|el&f&SG=the adj|tarde=late det:indef|todo-m=all cop|esta-13S&PAS=be prep|en=in n|calma&f=calm .,%svd:,estar,na,na,na,na,na,na,na,na,na,reading,
25,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,46,.,la Chocolata .%mor: det:art|el&f&SG=the n:prop|Chocolata .,%mor:,0,,,,0,0,0,,,,,
26,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,48,?,éste es cómo se llama éste ?%mor: pro:dem|éste=this_one cop|se-3S&PRES=be pro:int|cómo=how pro:refl|se=itself v|llama-3S&PRES=call pro:dem|éste=this_one ?,%mor:,0,,,,0,0,0,,,,,
27,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,48,cop|se-3s&pres=be,éste es cómo se llama éste ?%mor: pro:dem|éste=this_one cop|se-3S&PRES=be pro:int|cómo=how pro:refl|se=itself v|llama-3S&PRES=call pro:dem|éste=this_one ?,%svd:,ser,na,na,na,na,na,na,na,na,na,false start,
28,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,48,v|llama-3s&pres=call,éste es cómo se llama éste ?%mor: pro:dem|éste=this_one cop|se-3S&PRES=be pro:int|cómo=how pro:refl|se=itself v|llama-3S&PRES=call pro:dem|éste=this_one ?,%svd:,llamar,DP-dem,,1,3,s,pres,,,,,
29,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,51,.,el &pep &eh no sé .%mor: det:art|el&m&SG=the adv|no=no v|sabe-1S&PRES=know .,%mor:,0,,,,0,0,0,,,,,
30,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,51,v|sabe-1s&pres=know,el &pep &eh no sé .%mor: det:art|el&m&SG=the adv|no=no v|sabe-1S&PRES=know .,%svd:,saber,na,na,na,na,na,na,na,na,na,exclude,
31,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,53,?,hipopótamo ?%mor: n|hipopótamo-m=hippopotamus ?,%mor:,0,,,,0,0,0,,,,,
32,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,55,?,&eh ?,%mor:,0,,,,0,0,0,,,,,
33,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,56,?,+< cómo ?%mor: pro:int|cómo=how ?,%mor:,0,,,,0,0,0,,,,,
34,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,58,.,+< llámalo como como tú qu(i)eras .%mor: imp|llama-2S&IMP~pro:clit|OBJ&m=call adv|como=like adv|como=like pro:sub|tú=you v|quere-2S&SUB&PRES=want .,%mor:,0,,,,0,0,0,,,,,
35,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,58,.,+< llámalo como como tú qu(i)eras .%com: mother laughs .,%com:,0,,,,0,0,0,,,,,
36,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,58,v|quere-2s&sub&pres=want,+< llámalo como como tú qu(i)eras .%mor: imp|llama-2S&IMP~pro:clit|OBJ&m=call adv|como=like adv|como=like pro:sub|tú=you v|quere-2S&SUB&PRES=want .,%svd:,querer,1,,1,2,s,sub&pres,same,same,,,
37,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,62,.,hipopótamo a_ver repite .%mor: n|hipopótamo-m=hippopotamus co|a_ver=lets_see imp|repeti-2S&IMP=repeat .,%mor:,0,,,,0,0,0,,,,,
38,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,65,+/.,hipopótamo +/.%mor: n|hipopótamo-m=hippopotamus +/.,%mor:,0,,,,0,0,0,,,,,
39,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,67,.,+< hipopótamo el changuito .%mor: n|hipopótamo-m=hippopotamus det:art|el&m&SG=the n|changuito-m=little_monkey .,%mor:,0,,,,0,0,0,,,,,
40,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,70,.,changuito .%mor: n|changuito-m=little_monkey .,%mor:,0,,,,0,0,0,,,,,
41,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,72,.,&mhmm .,%mor:,0,,,,0,0,0,,,,,
42,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,73,.,mira estaba tomándose su baño .%mor: co|mira=look cop|esta-13S&PAS=be part|toma-PROG~pro:clit|3S&REFL=take det:poss|su&3S=his n|baño&m=bath .,%mor:,0,,,,0,0,0,,,,,
43,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,73,cop|esta-13s&pas=be,mira estaba tomándose su baño .%mor: co|mira=look cop|esta-13S&PAS=be part|toma-PROG~pro:clit|3S&REFL=take det:poss|su&3S=his n|baño&m=bath .,%svd:,estar,0,,1,3,s,pas,,,,,
44,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,77,?,y ése como se llama ?%mor: coord|y=and pro:dem|ése=that_one adv|como=like pro:refl|se=itself v|llama-3S&PRES=call ?,%mor:,0,,,,0,0,0,,,,,
45,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,77,v|llama-3s&pres=call,y ése como se llama ?%mor: coord|y=and pro:dem|ése=that_one adv|como=like pro:refl|se=itself v|llama-3S&PRES=call ?,%svd:,llamar,DP-dem,,0,3,s,pres,,,,,
46,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,80,.,tina .%mor: n|tina&f=tub .,%mor:,0,,,,0,0,0,,,,,
47,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,82,.,la tina .%mor: det:art|el&f&SG=the n|tina&f=tub .,%mor:,0,,,,0,0,0,,,,,
48,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,84,.,en su tinita .%mor: prep|en=in det:poss|su&3S=his n|tina&f-DIM=tub .,%mor:,0,,,,0,0,0,,,,,
49,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,86,.,mira un pajarito lo tiene arriba de la cabeza .%mor: co|mira=look det:art|un&m=one n|pájaro&m-DIM=bird pro:obj|lo&m=him v|tene-3S&PRES=have adv|arriba=above prep|de=of det:art|el&f&SG=the n|cabeza&f=head .,%mor:,0,,,,0,0,0,,,,,
50,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,86,v|tene-3s&pres=have,mira un pajarito lo tiene arriba de la cabeza .%mor: co|mira=look det:art|un&m=one n|pájaro&m-DIM=bird pro:obj|lo&m=him v|tene-3S&PRES=have adv|arriba=above prep|de=of det:art|el&f&SG=the n|cabeza&f=head .,%svd:,tener,0,,1,3,s,pres,,,,,
51,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,90,?,ya lo viste ?%mor: adv|ya=already pro:obj|lo&m=him v|ve-2S&PRET=see ?,%mor:,0,,,,0,0,0,,,,,
52,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,90,v|ve-2s&pret=see,ya lo viste ?%mor: adv|ya=already pro:obj|lo&m=him v|ve-2S&PRET=see ?,%svd:,ver,na,na,na,na,na,na,na,na,na,exclude,
53,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,92,.,está con el changuito .%mor: cop|esta-3S&PRES=be prep|con=with det:art|el&m&SG=the n|changuito-m=little_monkey .,%mor:,0,,,,0,0,0,,,,,
54,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,92,cop|esta-3s&pres=be,está con el changuito .%mor: cop|esta-3S&PRES=be prep|con=with det:art|el&m&SG=the n|changuito-m=little_monkey .,%svd:,estar,0,,1,3,s,pres,,switch,,,
55,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,95,?,me la puedes leer ?%mor: pro:obj|me=me pro:obj|la&f=she v|pode-2S&PRES=can inf|lee-INF=read ?,%mor:,0,,,,0,0,0,,,,,
56,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,95,v|pode-2s&pres=can,me la puedes leer ?%mor: pro:obj|me=me pro:obj|la&f=she v|pode-2S&PRES=can inf|lee-INF=read ?,%svd:,poder,0,,1,2,s,pres,,,,,
57,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,98,.,&ahaa dice .%mor: v|deci-3S&PRES=say .,%mor:,0,,,,0,0,0,,,,,
58,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,98,.,&ahaa dice .%com: lmother begins to read the story .,%com:,0,,,,0,0,0,,,,,
59,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,98,v|deci-3s&pres=say,&ahaa dice .%mor: v|deci-3S&PRES=say .,%svd:,decir,0,,0,3,s,pres,,,,,
60,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,101,.,el día siguiente Chocolata despertó temprano .%mor: det:art|el&m&SG=the n|día&m=day adj|siguiente=successive n:prop|Chocolata v|desperta-3S&PRET=wake_up adj|temprano-m=early .,%mor:,0,,,,0,0,0,,,,,
61,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,101,v|desperta-3s&pret=wake_up,el día siguiente Chocolata despertó temprano .%mor: det:art|el&m&SG=the n|día&m=day adj|siguiente=successive n:prop|Chocolata v|desperta-3S&PRET=wake_up adj|temprano-m=early .,%svd:,despertar,na,na,na,na,na,na,na,na,na,reading,
62,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,104,?,sabes quién es Chocolata ?%mor: v|sabe-2S&PRES=know pro:int|quién=who cop|se-3S&PRES=be n:prop|Chocolata ?,%mor:,0,,,,0,0,0,,,,,
63,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,104,v|sabe-2s&pres=know,sabes quién es Chocolata ?%mor: v|sabe-2S&PRES=know pro:int|quién=who cop|se-3S&PRES=be n:prop|Chocolata ?,%svd:,saber,0,,1,2,s,pres,,,,,
64,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,104,cop|se-3s&pres=be,sabes quién es Chocolata ?%mor: v|sabe-2S&PRES=know pro:int|quién=who cop|se-3S&PRES=be n:prop|Chocolata ?,%svd:,ser,wh,,1,3,s,pres,,,,,
65,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,107,.,&mm .,%mor:,0,,,,0,0,0,,,,,
66,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,108,.,a_ver es éste .%mor: co|a_ver=lets_see cop|se-3S&PRES=be pro:dem|éste=this_one .,%mor:,0,,,,0,0,0,,,,,
67,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,108,cop|se-3s&pres=be,a_ver es éste .%mor: co|a_ver=lets_see cop|se-3S&PRES=be pro:dem|éste=this_one .,%svd:,ser,0,,1,3,s,pres,,,,,
68,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,110,?,cómo se llama ?%mor: pro:int|cómo=how pro:refl|se=itself v|llama-3S&PRES=call ?,%mor:,0,,,,0,0,0,,,,,
69,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,110,v|llama-3s&pres=call,cómo se llama ?%mor: pro:int|cómo=how pro:refl|se=itself v|llama-3S&PRES=call ?,%svd:,llamar,0,,1,3,s,pres,,same,,,
70,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,112,.,Chocolata .%mor: n:prop|Chocolata .,%mor:,0,,,,0,0,0,,,,,
71,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,114,.,pero es el hipopótamo .%mor: conj|pero=but cop|se-3S&PRES=be det:art|el&m&SG=the n|hipopótamo-m=hippopotamus .,%mor:,0,,,,0,0,0,,,,,
72,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,114,cop|se-3s&pres=be,pero es el hipopótamo .%mor: conj|pero=but cop|se-3S&PRES=be det:art|el&m&SG=the n|hipopótamo-m=hippopotamus .,%svd:,ser,0,,1,3,s,pres,,,,,
73,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,117,.,&mhmm .,%mor:,0,,,,0,0,0,,,,,
74,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,118,.,se llama Chocolata y se despertó temprano se despidió de sus amigas y &sus (.) y con una mini maleta atravesó la selva a camino de la ciudad .%mor: pro:refl|se=itself v|llama-3S&PRES=call n:prop|Chocolata coord|y=and pro:refl|se=itself v|desperta-3S&PRET=wake_up adj|temprano-m=early pro:refl|se=itself v|despedi-3S&PRET=dismiss prep|de=of co|sus n|amigo-f-PL=friend coord|y=and coord|y=and prep|con=with det:art|un-f=one adj|mini=mini n|maleta&f=valise v|atravesa-3S&PRET=cross_over det:art|el&f&SG=the n|selva&f=forest aprep|a=to n|camino&m=road prep|de=of det:art|el&f&SG=the n|ciudad&f=town .,%mor:,0,,,,0,0,0,,,,,
75,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,118,v|llama-3s&pres=call,se llama Chocolata y se despertó temprano se despidió de sus amigas y &sus (.) y con una mini maleta atravesó la selva a camino de la ciudad .%mor: pro:refl|se=itself v|llama-3S&PRES=call n:prop|Chocolata coord|y=and pro:refl|se=itself v|desperta-3S&PRET=wake_up adj|temprano-m=early pro:refl|se=itself v|despedi-3S&PRET=dismiss prep|de=of co|sus n|amigo-f-PL=friend coord|y=and coord|y=and prep|con=with det:art|un-f=one adj|mini=mini n|maleta&f=valise v|atravesa-3S&PRET=cross_over det:art|el&f&SG=the n|selva&f=forest aprep|a=to n|camino&m=road prep|de=of det:art|el&f&SG=the n|ciudad&f=town .,%svd:,llamar,0,,1,3,s,pres,,,,,
76,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,118,v|desperta-3s&pret=wake_up,se llama Chocolata y se despertó temprano se despidió de sus amigas y &sus (.) y con una mini maleta atravesó la selva a camino de la ciudad .%mor: pro:refl|se=itself v|llama-3S&PRES=call n:prop|Chocolata coord|y=and pro:refl|se=itself v|desperta-3S&PRET=wake_up adj|temprano-m=early pro:refl|se=itself v|despedi-3S&PRET=dismiss prep|de=of co|sus n|amigo-f-PL=friend coord|y=and coord|y=and prep|con=with det:art|un-f=one adj|mini=mini n|maleta&f=valise v|atravesa-3S&PRET=cross_over det:art|el&f&SG=the n|selva&f=forest aprep|a=to n|camino&m=road prep|de=of det:art|el&f&SG=the n|ciudad&f=town .,%svd:,despertar,0,,1,3,s,pret,same,same,,,
77,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,118,v|despedi-3s&pret=dismiss,se llama Chocolata y se despertó temprano se despidió de sus amigas y &sus (.) y con una mini maleta atravesó la selva a camino de la ciudad .%mor: pro:refl|se=itself v|llama-3S&PRES=call n:prop|Chocolata coord|y=and pro:refl|se=itself v|desperta-3S&PRET=wake_up adj|temprano-m=early pro:refl|se=itself v|despedi-3S&PRET=dismiss prep|de=of co|sus n|amigo-f-PL=friend coord|y=and coord|y=and prep|con=with det:art|un-f=one adj|mini=mini n|maleta&f=valise v|atravesa-3S&PRET=cross_over det:art|el&f&SG=the n|selva&f=forest aprep|a=to n|camino&m=road prep|de=of det:art|el&f&SG=the n|ciudad&f=town .,%svd:,despedir,na,na,na,na,na,na,na,na,na,reading,
78,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,118,v|atravesa-3s&pret=cross_over,se llama Chocolata y se despertó temprano se despidió de sus amigas y &sus (.) y con una mini maleta atravesó la selva a camino de la ciudad .%mor: pro:refl|se=itself v|llama-3S&PRES=call n:prop|Chocolata coord|y=and pro:refl|se=itself v|desperta-3S&PRET=wake_up adj|temprano-m=early pro:refl|se=itself v|despedi-3S&PRET=dismiss prep|de=of co|sus n|amigo-f-PL=friend coord|y=and coord|y=and prep|con=with det:art|un-f=one adj|mini=mini n|maleta&f=valise v|atravesa-3S&PRET=cross_over det:art|el&f&SG=the n|selva&f=forest aprep|a=to n|camino&m=road prep|de=of det:art|el&f&SG=the n|ciudad&f=town .,%svd:,atravesar,na,na,na,na,na,na,na,na,na,reading,
79,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,129,.,&mhmm ésa es Chocolata .%mor: pro:dem|ése-f=that_one cop|se-3S&PRES=be n:prop|Chocolata .,%mor:,0,,,,0,0,0,,,,,
