original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes
16,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,37,.,+< vos y yo y Alan .%mor: pro:obj|vos=you coord|y=and pro:sub|yo=I coord|y=and n:prop|Alan .,%mor:,0,,,0,0,0,,,,
17,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,39,?,sí ?%mor: co|sí=yes ?,%mor:,0,,,0,0,0,,,,
18,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,41,?,sí ?%mor: co|sí=yes ?,%mor:,0,,,0,0,0,,,,
19,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,43,.,jugamo(s) los tres .%mor: v|juga-1P&PRES&PRET=play det:art|el&m-PL=the det:num|tres=three .,%mor:,0,,,0,0,0,,,,
20,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,43,v|juga-1p&pres&pret=play,jugamo(s) los tres .%mor: v|juga-1P&PRES&PRET=play det:art|el&m-PL=the det:num|tres=three .,%svd:,jugar,DP-def,1,1,p,pres,,,,
21,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,45,.,Alan quiere jugar también .%mor: n:prop|Alan v|quere-3S&PRES=want inf|juga-INF=play adv|también=also .,%mor:,0,,,0,0,0,,,,
22,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,45,v|quere-3s&pres=want,Alan quiere jugar también .%mor: n:prop|Alan v|quere-3S&PRES=want inf|juga-INF=play adv|también=also .,%svd:,querer,proper,1,3,s,pres,,switch,,
23,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,48,?,sí ?%mor: co|sí=yes ?,%mor:,0,,,0,0,0,,,,
24,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,50,.,+< sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,
25,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,52,.,bueno .%mor: co|bueno=good .,%mor:,0,,,0,0,0,,,,
26,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,54,.,seguí .%mor: imp|segui-2S&IMP=follow .,%mor:,0,,,0,0,0,,,,
27,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,56,cop|esta-1s&pres=be,"igual yo cualquier cosa estoy ahí, así que lo que necesites +/.%mor: co|igual=equal pro:sub|yo=I pro:indef|cualquier&m=whichever imp|cose-3S&IMP=sew cop|esta-1S&PRES=be adv|ahí=there cm|cm adv|así=thus conj|que=that pro:obj|lo&m=him pro:rel|que=that v|necesita-2S&SUB&PRES=need +/.",%mor:,0,,,0,0,0,,,,
27,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,56,cop|esta-1s&pres=be,"igual yo cualquier cosa estoy ahí, así que lo que necesites +/.%mor: co|igual=equal pro:sub|yo=I pro:indef|cualquier&m=whichever imp|cose-3S&IMP=sew cop|esta-1S&PRES=be adv|ahí=there cm|cm adv|así=thus conj|que=that pro:obj|lo&m=him pro:rel|que=that v|necesita-2S&SUB&PRES=need +/.",%svd:,estar,1,1,1,s,pres,,,,
28,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,56,v|necesita-2s&sub&pres=need,"igual yo cualquier cosa estoy ahí, así que lo que necesites +/.%mor: co|igual=equal pro:sub|yo=I pro:indef|cualquier&m=whichever imp|cose-3S&IMP=sew cop|esta-1S&PRES=be adv|ahí=there cm|cm adv|así=thus conj|que=that pro:obj|lo&m=him pro:rel|que=that v|necesita-2S&SUB&PRES=need +/.",%svd:,necesitar,0,1,2,s,sub&pres,switch,switch,,
29,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,61,.,+< bueno .%mor: co|bueno=good .,%mor:,0,,,0,0,0,,,,
30,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,63,.,"+, me avisás .%mor: pro:obj|me=me v|avisa-2S&PRES=inform .",%mor:,0,,,0,0,0,,,,
31,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,63,v|avisa-2s&pres=inform,"+, me avisás .%mor: pro:obj|me=me v|avisa-2S&PRES=inform .",%svd:,avisar,0,1,2,s,pres,same,same,,
32,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,65,.,+< dale .%mor: imp|da-2S&IMP~pro:clit|3S=give .,%mor:,0,,,0,0,0,,,,
33,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,67,?,dale ?%mor: imp|da-2S&IMP~pro:clit|3S=give ?,%mor:,0,,,0,0,0,,,,
34,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,69,.,dale .%mor: imp|da-2S&IMP~pro:clit|3S=give .,%mor:,0,,,0,0,0,,,,
35,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,71,.,yo ahora vengo en un ratito .%mor: pro:sub|yo=I adv|ahora=now v|veni-1S&PRES=come prep|en=in det:art|un&m=one n|rato&m-DIM=rat .,%mor:,0,,,0,0,0,,,,
36,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,71,v|veni-1s&pres=come,yo ahora vengo en un ratito .%mor: pro:sub|yo=I adv|ahora=now v|veni-1S&PRES=come prep|en=in det:art|un&m=one n|rato&m-DIM=rat .,%svd:,venir,1,1,1,s,pres,,,,
37,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,74,.,jugamos acá en el suelo así Alan juega también .%mor: v|juga-1P&PRES&PRET=play adv|acá=there prep|en=in det:art|el&m&SG=the n|suelo&m=floor adv|así=thus n:prop|Alan v|juga-3S&PRES=play adv|también=also .,%mor:,0,,,0,0,0,,,,
38,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,74,v|juga-1p&pres&pret=play,jugamos acá en el suelo así Alan juega también .%mor: v|juga-1P&PRES&PRET=play adv|acá=there prep|en=in det:art|el&m&SG=the n|suelo&m=floor adv|así=thus n:prop|Alan v|juga-3S&PRES=play adv|también=also .,%svd:,jugar,0,1,1,p,pres,,,,
39,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,74,v|juga-3s&pres=play,jugamos acá en el suelo así Alan juega también .%mor: v|juga-1P&PRES&PRET=play adv|acá=there prep|en=in det:art|el&m&SG=the n|suelo&m=floor adv|así=thus n:prop|Alan v|juga-3S&PRES=play adv|también=also .,%svd:,jugar,proper,1,3,s,pres,switch,switch,,
40,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,78,.,"sí, sí, sí, sí .%mor: co|sí=yes cm|cm co|sí=yes cm|cm co|sí=yes cm|cm co|sí=yes .",%mor:,0,,,0,0,0,,,,
41,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,80,?,"a_ver, hacemo(s) e(s)pacio ?%mor: co|a_ver=lets_see cm|cm v|hace-1P&PRES=do n|espacio&m=space ?",%mor:,0,,,0,0,0,,,,
42,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,80,v|hace-1p&pres=do,"a_ver, hacemo(s) e(s)pacio ?%mor: co|a_ver=lets_see cm|cm v|hace-1P&PRES=do n|espacio&m=space ?",%svd:,hacer,0,1,1,p,pres,,,,
43,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,82,.,"sí, sí, sí, sí .%mor: co|sí=yes cm|cm co|sí=yes cm|cm co|sí=yes cm|cm co|sí=yes .",%mor:,0,,,0,0,0,,,,
44,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,84,?,"a_ver, me ayudás a ver y sacá(s) la sartén abajo ?%mor: co|a_ver=lets_see cm|cm pro:obj|me=me v|ayuda-2S&PRES=help aprep|a=to inf|ve-INF=see coord|y=and v|saca-2S&PRES=bring_out det:art|el&f&SG=the n|sartén&f=frying_pan adv|abajo=below ?",%mor:,0,,,0,0,0,,,,
45,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,84,v|ayuda-2s&pres=help,"a_ver, me ayudás a ver y sacá(s) la sartén abajo ?%mor: co|a_ver=lets_see cm|cm pro:obj|me=me v|ayuda-2S&PRES=help aprep|a=to inf|ve-INF=see coord|y=and v|saca-2S&PRES=bring_out det:art|el&f&SG=the n|sartén&f=frying_pan adv|abajo=below ?",%svd:,ayudar,0,1,2,s,pres,,,,
46,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,84,v|saca-2s&pres=bring_out,"a_ver, me ayudás a ver y sacá(s) la sartén abajo ?%mor: co|a_ver=lets_see cm|cm pro:obj|me=me v|ayuda-2S&PRES=help aprep|a=to inf|ve-INF=see coord|y=and v|saca-2S&PRES=bring_out det:art|el&f&SG=the n|sartén&f=frying_pan adv|abajo=below ?",%svd:,sacar,0,1,2,s,pres,same,same,,
47,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,88,?,la sartén ?%mor: det:art|el&f&SG=the n|sartén&f=frying_pan ?,%mor:,0,,,0,0,0,,,,
48,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,90,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,
49,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,92,.,"sí, me gusta la sartén .%mor: co|sí=yes cm|cm pro:obj|me=me v|gusta-3S&PRES=like det:art|el&f&SG=the n|sartén&f=frying_pan .",%mor:,0,,,0,0,0,,,,
50,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,92,v|gusta-3s&pres=like,"sí, me gusta la sartén .%mor: co|sí=yes cm|cm pro:obj|me=me v|gusta-3S&PRES=like det:art|el&f&SG=the n|sartén&f=frying_pan .",%svd:,gustar,na,na,na,na,na,na,na,na,gustar-type verb
51,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,95,.,cuidado la capucha .%mor: co|cuidado=careful det:art|el&f&SG=the n|capucha&f=hood .,%mor:,0,,,0,0,0,,,,
52,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,97,.,la capucha .%mor: det:art|el&f&SG=the n|capucha&f=hood .,%mor:,0,,,0,0,0,,,,
53,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,99,.,una sartén .%mor: det:art|un-f=one n|sartén&f=frying_pan .,%mor:,0,,,0,0,0,,,,
54,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,101,.,una sartén .%mor: det:art|un-f=one n|sartén&f=frying_pan .,%mor:,0,,,0,0,0,,,,
55,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,103,.,una persona .%mor: det:art|un-f=one n|persona&f=person .,%mor:,0,,,0,0,0,,,,
56,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,105,.,"a_ver, &ay, acá .%mor: co|a_ver=lets_see cm|cm cm|cm adv|acá=there .",%mor:,0,,,0,0,0,,,,
57,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,107,.,"aquí tiene(s), aquí tienes .%mor: adv|aquí=here v|tene-2S&PRES=have cm|cm adv|aquí=here v|tene-2S&PRES=have .",%mor:,0,,,0,0,0,,,,
58,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,107,v|tene-2s&pres=have,"aquí tiene(s), aquí tienes .%mor: adv|aquí=here v|tene-2S&PRES=have cm|cm adv|aquí=here v|tene-2S&PRES=have .",%svd:,tener,0,1,2,s,pres,,,,morfological error
59,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,107,v|tene-2s&pres=have,"aquí tiene(s), aquí tienes .%mor: adv|aquí=here v|tene-2S&PRES=have cm|cm adv|aquí=here v|tene-2S&PRES=have .",%svd:,tener,na,na,na,na,na,na,na,na,repetition
60,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,112,.,"mira e(s)te, ese xxx .%mor: v|mira-3S&PRES=look det:dem|este=this cm|cm det:dem|ese=that .",%mor:,0,,,0,0,0,,,,
61,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,112,v|mira-3s&pres=look,"mira e(s)te, ese xxx .%mor: v|mira-3S&PRES=look det:dem|este=this cm|cm det:dem|ese=that .",%svd:,mirar,na,na,na,na,na,na,na,na,tag error
62,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,114,.,Alan .%mor: n:prop|Alan .,%mor:,0,,,0,0,0,,,,
63,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,116,.,acá .%mor: adv|acá=there .,%mor:,0,,,0,0,0,,,,
64,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,118,.,un xxx .%mor: det:art|un&m=one .,%mor:,0,,,0,0,0,,,,
65,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,120,.,"acá, acá .%mor: adv|acá=there cm|cm adv|acá=there .",%mor:,0,,,0,0,0,,,,
66,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,122,.,"ya sale el rompecabezas, vamo(s) armar el rompecabezas .%mor: adv|ya=already v|sali-3S&PRES=leave det:art|el&m&SG=the n|rompecabezas&m=brainteaser cm|cm v|i-1P&PRES=go inf|arma-INF=arm det:art|el&m&SG=the n|rompecabezas&m=brainteaser .",%mor:,0,,,0,0,0,,,,
67,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,122,v|sali-3s&pres=leave,"ya sale el rompecabezas, vamo(s) armar el rompecabezas .%mor: adv|ya=already v|sali-3S&PRES=leave det:art|el&m&SG=the n|rompecabezas&m=brainteaser cm|cm v|i-1P&PRES=go inf|arma-INF=arm det:art|el&m&SG=the n|rompecabezas&m=brainteaser .",%svd:,salir,DP-def,0,3,s,pres,,,,
67,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,122,v|i-1P&PRES=go,"ya sale el rompecabezas, vamo(s) armar el rompecabezas .%mor: adv|ya=already v|sali-3S&PRES=leave det:art|el&m&SG=the n|rompecabezas&m=brainteaser cm|cm v|i-1P&PRES=go inf|arma-INF=arm det:art|el&m&SG=the n|rompecabezas&m=brainteaser .",%svd:,ir,0,1,1,p,PRES,switch,switch,,
68,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,126,.,"&ah, sí .%mor: cm|cm co|sí=yes .",%mor:,0,,,0,0,0,,,,
69,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,128,?,queré(s) jugar ?%mor: v|quere-2S&PRES=want inf|juga-INF=play ?,%mor:,0,,,0,0,0,,,,
70,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,128,v|quere-2s&pres=want,queré(s) jugar ?%mor: v|quere-2S&PRES=want inf|juga-INF=play ?,%svd:,querer,0,1,2,s,pres,,,,
71,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,130,?,&eh ?,%mor:,0,,,0,0,0,,,,
72,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,131,?,queré(s) jugar el rompecabezas ?%mor: v|quere-2S&PRES=want inf|juga-INF=play det:art|el&m&SG=the n|rompecabezas&m=brainteaser ?,%mor:,0,,,0,0,0,,,,
73,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,131,v|quere-2s&pres=want,queré(s) jugar el rompecabezas ?%mor: v|quere-2S&PRES=want inf|juga-INF=play det:art|el&m&SG=the n|rompecabezas&m=brainteaser ?,%svd:,querer,0,1,2,s,pres,,,,
74,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,134,.,"&oy qué bonito, mira Alan .%mor: pro:int|qué=what adj|bonito-m=pretty cm|cm co|mira=look n:prop|Alan .",%mor:,0,,,0,0,0,,,,
75,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,137,.,vamo(s) armar el rompecabeza(s) .%mor: v|i-1P&PRES=go inf|arma-INF=arm det:art|el&m&SG=the n|rompecabezas&m=brainteaser .,%mor:,0,,,0,0,0,,,,
76,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,137,v|i-1p&pres=go,vamo(s) armar el rompecabeza(s) .%mor: v|i-1P&PRES=go inf|arma-INF=arm det:art|el&m&SG=the n|rompecabezas&m=brainteaser .,%svd:,ir,0,1,1,p,pres,,,,
77,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,140,.,mira .%mor: co|mira=look .,%mor:,0,,,0,0,0,,,,
78,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,142,?,"&uou, qué hay acá ?%mor: cm|cm pro:int|qué=what v|habe-3S&PRES&SPEC=have adv|acá=there ?",%mor:,0,,,0,0,0,,,,
79,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,142,v|habe-3s&pres&spec=have,"&uou, qué hay acá ?%mor: cm|cm pro:int|qué=what v|habe-3S&PRES&SPEC=have adv|acá=there ?",%svd:,haber,na,na,na,na,na,na,na,na,exclude
80,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,144,.,"no quiero, no quiero armar rompecabeza(s) .%mor: adv|no=no v|quere-1S&PRES=want cm|cm co|no=no v|quere-1S&PRES=want inf|arma-INF=arm n|rompecabezas&m=brainteaser .",%mor:,0,,,0,0,0,,,,
81,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,144,v|quere-1s&pres=want,"no quiero, no quiero armar rompecabeza(s) .%mor: adv|no=no v|quere-1S&PRES=want cm|cm co|no=no v|quere-1S&PRES=want inf|arma-INF=arm n|rompecabezas&m=brainteaser .",%svd:,querer,na,na,na,na,na,na,na,na,false start
82,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,144,v|quere-1s&pres=want,"no quiero, no quiero armar rompecabeza(s) .%mor: adv|no=no v|quere-1S&PRES=want cm|cm co|no=no v|quere-1S&PRES=want inf|arma-INF=arm n|rompecabezas&m=brainteaser .",%svd:,querer,0,1,1,s,pres,,,,
83,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,147,?,no queré(s) armar el rompecabeza(s) ?%mor: adv|no=no v|quere-2S&PRES=want inf|arma-INF=arm det:art|el&m&SG=the n|rompecabezas&m=brainteaser ?,%mor:,0,,,0,0,0,,,,
